asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3321495,(2006 CW),22.56,81.7626533358,182.8268508796,6.6556050183,28142900.298663326,2026-03-17
3735181,(2015 VO142),28.9,4.411182,9.8637028131,3.094130925,1043801.440496979,2026-03-17
3739247,(2016 AB9),24.7,30.5179232594,68.2401509401,3.4212122518,30930860.193854608,2026-03-17
3752009,(2016 GT221),23.3,58.1507039646,130.0289270043,7.6419736599,32892828.689252388,2026-03-17
3757410,(2016 PA40),24.49,33.6166921158,75.1692087496,9.4981205483,15798855.482639767,2026-03-17
3766128,(2016 YK4),26.1,16.0160337979,35.8129403019,9.0517741479,28244148.346516345,2026-03-17
3774381,(2017 HS49),23.06,64.9463840906,145.2245297194,13.954327907,60449552.099202275,2026-03-17
54049792,(2020 OV4),27.1,10.1054341542,22.5964377109,6.7068061126,68577814.01754211,2026-03-17
54256791,(2022 EQ6),26.21,15.2249185036,34.043952726,15.3327386274,29330779.5674356,2026-03-17
54353621,(2023 FX13),25.6,20.1629919443,45.0858206172,26.2449144283,70789773.22464947,2026-03-17
54544997,(2025 RG2),24.57,32.4007435394,72.4502650757,12.2103851054,17300878.205863934,2026-03-17
54554914,(2025 UK8),25.67,19.5233786156,43.655601735,4.6998417602,23940373.896551345,2026-03-17
54604289,(2026 DP10),24.12,39.8616229277,89.1332985597,10.7787875834,4000277.965679729,2026-03-17
54604296,(2026 DW10),24.77,29.5498293111,66.0754270632,6.6304208546,11863837.34377949,2026-03-17
54605660,(2026 DD16),24.12,39.8616229277,89.1332985597,12.0947924403,18719639.930732403,2026-03-17
54606084,(2026 EN),21.08,161.6422833399,361.4431335863,14.2726360993,24901036.97902645,2026-03-17
54606253,(2026 DU17),25.91,17.4805453169,39.0876876124,9.2709419605,7151753.848348353,2026-03-17
54606245,(2026 EV1),24.65,31.2287770103,69.8296682492,12.4275156323,17107398.089546844,2026-03-17
54606333,(2026 EZ2),24.241,37.7011828918,84.3024077782,19.2252847291,3764278.918354435,2026-03-17
